name,manufacturer,basePrice,size,gunType,dmg,alpha,fireRate,fireRange,projectileSpeed
FrostBite," Lightning Power Ltd. (LPLT) ",110 850,3,,,,,,
FrostBurn," Lightning Power Ltd. (LPLT) ",104 950,3,,,,,,
FullFrost," Lightning Power Ltd. (LPLT) ",39 500,2,,,,,,
Galinstan," Aegis Dynamics (AEGS) ",118 000,3,,,,,,
Gelid," Wen/Cassel Propulsion (WCPR) ",14 500,1,,,,,,
Glacier," Aegis Dynamics (AEGS) ",19 300,1,,,,,,
Graupel," Wen/Cassel Propulsion (WCPR) ",36 750,2,,,,,,
HeatSafe," Tyler Design & Tech (TYDT) ",10 650,1,,,,,,
HeatSink," Tyler Design & Tech (TYDT) ",22 850,2,,,,,,
Hydrocel," Juno Starwerk (JUST) ",19 200,1,,,,,,
HydroJet," Juno Starwerk (JUST) ",52 750,2,,,,,,
Hydropulse," Juno Starwerk (JUST) ",156 500,3,,,,,,
Ice-Flush," Juno Starwerk (JUST) ",213 150,3,,,,,,
IceBox," Tyler Design & Tech (TYDT) ",28 650,2,,,,,,
IceDive," ACOM (ACOM) ",42 400,2,,,,,,
IcePlunge," ACOM (ACOM) ",15 800,1,,,,,,
Kelvid," Wen/Cassel Propulsion (WCPR) ",6 300,0,,,,,,
Kragen," Wen/Cassel Propulsion (WCPR) ",,3,,,,,,
Mercury," Aegis Dynamics (AEGS) ",122 500,3,,,,,,
NightFall," Tyler Design & Tech (TYDT) ",32 600,2,,,,,,
Permafrost," Aegis Dynamics (AEGS) ",49 650,2,,,,,,
Polar," Aegis Dynamics (AEGS) ",17 550,1,,,,,,
QuikCool," ACOM (ACOM) ",15 750,1,,,,,,
RapidCool," ACOM (ACOM) ",42 300,2,,,,,,
Serac," Wen/Cassel Propulsion (WCPR) ",,4,,,,,,
SnowBlind," Tyler Design & Tech (TYDT) ",12 850,1,,,,,,
Snowfall," Juno Starwerk (JUST) ",,2,,,,,,
Snowpack," Juno Starwerk (JUST) ",82 900,2,,,,,,
Taiga," Wen/Cassel Propulsion (WCPR) ",37 700,2,,,,,,
Tempest," Aegis Dynamics (AEGS) ",130 900,3,,,,,,
Tepilo," Wen/Cassel Propulsion (WCPR) ",6 300,0,,,,,,
ThermalCore," Juno Starwerk (JUST) ",176 300,3,,,,,,
Thermax," Juno Starwerk (JUST) ",20 500,1,,,,,,
Tundra," Aegis Dynamics (AEGS) ",15 750,1,,,,,,
Ultra-Flow," Juno Starwerk (JUST) ",27 550,1,,,,,,
VaporBlock," Tyler Design & Tech (TYDT) ",11 950,1,,,,,,
WhiteOut," Lightning Power Ltd. (LPLT) ",36 400,2,,,,,,
Winter-Star," J-Span (JSPN) ",14 200,1,,,,,,
Winter-Star EX," J-Span (JSPN) ",37 500,2,,,,,,
Winter-Star SL," J-Span (JSPN) ",6 300,0,,,,,,
Winter-Star XL," J-Span (JSPN) ",105 250,3,,,,,,
ZeroRush," ACOM (ACOM) ",16 150,1,,,,,,
